"quiz_question_id","quiz_id","question_id","question_order","params"
"8","7939","7940","1",
"9","7939","7941","2",
"10","7939","7942","3",
"11","7760","7852","1",
"12","7760","7950","2",
"13","7760","7951","3",
"14","7760","7856","4",
"15","7760","7859","5",
"16","7760","7902","6",
"17","7760","7909","7",
"18","7760","7926","8",
"19","7760","7927","9",
"20","8349","8361","1",NULL
"21","8349","8384","2",NULL
"22","8347","3799","1",NULL
"23","8347","3616","2",NULL
"24","8347","815","3",NULL
"25","8349","8619","3",NULL
"27","11350","11351","2",NULL
"30","11350","11717","3",NULL
"29","11350","11368","1",NULL
"31","11278","12002","1",NULL
"39","11278","12074","7",NULL
"33","11278","12029","3",NULL
"34","11278","12034","4",NULL
"35","11278","12046","5",NULL
"36","11278","12061","6",NULL
"38","11278","12067","2",NULL
"40","11278","12077","8",NULL
"41","11278","12087","9",NULL
"42","11278","12096","10",NULL
"43","21651","21652","1",NULL
"44","21651","21653","1",NULL
"45","21651","21654","1",NULL
"46","21651","21655","1",NULL
"47","21651","21656","1",NULL
"48","21651","21657","1",NULL
"49","21651","21658","1",NULL
"50","21651","21659","1",NULL
"51","21651","21660","1",NULL
"52","21651","21661","1",NULL
"53","21651","21662","1",NULL
"54","21651","21663","1",NULL
"55","21651","21664","1",NULL
"56","21651","21665","1",NULL
"57","21680","21681","1",NULL
"58","21680","21682","1",NULL
"59","21680","21683","1",NULL
"60","21680","21684","1",NULL
"61","21680","21685","1",NULL
"62","21680","21686","1",NULL
"63","21680","21687","1",NULL
"64","21680","21688","1",NULL
"65","21680","21689","1",NULL
"66","21680","21690","1",NULL
"67","21680","21691","1",NULL
"68","21701","21702","1",NULL
"69","21701","21703","1",NULL
"70","21701","21704","1",NULL
"71","21701","21705","1",NULL
"72","21701","21706","1",NULL
"73","21701","21707","1",NULL
"74","21701","21708","1",NULL
"75","21701","21709","1",NULL
"76","21701","21710","1",NULL
"77","21701","21711","1",NULL
"78","21701","21712","1",NULL
"79","21701","21713","1",NULL
"80","21701","21714","1",NULL
"81","21701","21715","1",NULL
"82","21701","21716","1",NULL
"83","21726","21727","1",NULL
"84","21726","21728","1",NULL
"85","21726","21729","1",NULL
"86","21726","21730","1",NULL
"87","21726","21731","1",NULL
"88","21726","21732","1",NULL
"89","21726","21733","1",NULL
"90","21726","21734","1",NULL
"91","21726","21735","1",NULL
"92","21726","21736","1",NULL
"93","21726","21737","1",NULL
"94","21726","21738","1",NULL
"95","21726","21739","1",NULL
"96","21726","21740","1",NULL
"97","21750","21751","1",NULL
"98","21750","21752","1",NULL
"99","21750","21753","1",NULL
"100","21750","21754","1",NULL
"101","21750","21755","1",NULL
"102","21750","21756","1",NULL
"103","21750","21757","1",NULL
"104","21750","21758","1",NULL
"105","21750","21759","1",NULL
"106","21750","21760","1",NULL
"107","21750","21761","1",NULL
"108","21750","21762","1",NULL
"109","21750","21763","1",NULL
"110","21773","21774","1",NULL
"111","21773","21775","1",NULL
"112","21773","21776","1",NULL
"113","21773","21777","1",NULL
"114","21773","21778","1",NULL
"115","21773","21779","1",NULL
"116","21773","21780","1",NULL
"117","21773","21781","1",NULL
"118","21773","21782","1",NULL
"119","21773","21783","1",NULL
"120","21773","21784","1",NULL
"121","21773","21785","1",NULL
"122","21773","21786","1",NULL
"123","21796","21797","1",NULL
"124","21796","21798","1",NULL
"125","21796","21799","1",NULL
"126","21796","21800","1",NULL
"127","21796","21801","1",NULL
"128","21796","21802","1",NULL
"129","21796","21803","1",NULL
"130","21796","21804","1",NULL
"131","21796","21805","1",NULL
"132","21796","21806","1",NULL
"133","21796","21807","1",NULL
"134","21796","21808","1",NULL
"135","21796","21809","1",NULL
"145","22465","22471","1",NULL
"146","22465","22476","2",NULL
"147","22465","22478","3",NULL
"148","22465","22480","4",NULL
"149","22465","22482","5",NULL
"150","22465","22484","6",NULL
"151","22465","22486","7",NULL
"152","22465","22488","8",NULL
"153","22465","22504","9",NULL
"154","22465","22506","10",NULL
"155","22465","22508","11",NULL
"156","22465","22510","12",NULL
"157","22465","22513","13",NULL
"158","22465","22515","14",NULL
"159","22465","22517","15",NULL
"160","22465","22519","16",NULL
"161","22465","22521","17",NULL
